number,name,screen_name,profile_image,following,followed_by,description,extra
"0","大飞挖链游","daifei520","https://pbs.twimg.com/profile_images/1694219779438166016/Lazk4o8h_normal.png","true","false","挖Web3，挖Gamefi，挖经济模型；\n一边学习一边输出，挖掘有潜力的优质链游，开启躺赚模式","{""__typename"":""User"",""id"":""VXNlcjoxMTA0NjI2ODA0MTc2Nzc3MjE3"",""rest_id"":""1104626804176777217"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":false,""can_media_tag"":true,""created_at"":""Sun Mar 10 06:15:27 +0000 2019"",""default_profile"":true,""default_profile_image"":false,""description"":""挖Web3，挖Gamefi，挖经济模型；\n一边学习一边输出，挖掘有潜力的优质链游，开启躺赚模式"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":2156,""followers_count"":2801,""friends_count"":4267,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":65,""location"":""亚洲"",""media_count"":93,""name"":""大飞挖链游"",""normal_followers_count"":2801,""pinned_tweet_ids_str"":[""1725898400313540774""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1104626804176777217/1672198123"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1694219779438166016/Lazk4o8h_normal.png"",""profile_interstitial_type"":"""",""screen_name"":""daifei520"",""statuses_count"":3112,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1104626804176777217"",""sortIndex"":""1726944887225450496""}"
"1","DARTΞR 🎯","DARTERETH","https://pbs.twimg.com/profile_images/1720306918374375424/biveRzvp_normal.jpg","true","false","Community Growth Manager by day ☀️ X content creator by night 🌙| @UKIZA_LAB co-founder| Ex-@blizzard_ent | @XCircle1314 | DM OPEN 📭","{""__typename"":""User"",""id"":""VXNlcjoxNDUwODQ1MTU3MTM0MjY2Mzcx"",""rest_id"":""1450845157134266371"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Wed Oct 20 15:23:44 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""Community Growth Manager by day ☀️ X content creator by night 🌙| @UKIZA_LAB co-founder| Ex-@blizzard_ent | @XCircle1314 | DM OPEN 📭"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""side.xyz/darter"",""expanded_url"":""https://side.xyz/darter"",""url"":""https://t.co/VRgI0SxtM7"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":14847,""followers_count"":4860,""friends_count"":958,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":17,""location"":""Garden"",""media_count"":1317,""name"":""DARTΞR 🎯"",""normal_followers_count"":4860,""pinned_tweet_ids_str"":[""1703373159016374434""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1450845157134266371/1695873056"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1720306918374375424/biveRzvp_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""DARTERETH"",""statuses_count"":9546,""translator_type"":""none"",""url"":""https://t.co/VRgI0SxtM7"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1615233123368988672"",""professional_type"":""Creator"",""category"":[{""id"":1098,""name"":""Community Manager"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1450845157134266371"",""sortIndex"":""1726944887225450495""}"
"2","Anya","anyatrades","https://pbs.twimg.com/profile_images/938026823493017600/B19hcD5C_normal.jpg","true","false","Follow me & turn on 🔔 notifications please ❤️ | Daytrader | Stocks | 🎓 Master's in Economics | Chatroom FREE TRIAL 📩 anyamertrade@gmail.com","{""__typename"":""User"",""id"":""VXNlcjozODk0NzQxNjc="",""rest_id"":""389474167"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Wed Oct 12 13:51:10 +0000 2011"",""default_profile"":false,""default_profile_image"":false,""description"":""Follow me & turn on 🔔 notifications please ❤️ | Daytrader | Stocks | 🎓 Master's in Economics | Chatroom FREE TRIAL 📩 anyamertrade@gmail.com"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":37885,""followers_count"":224226,""friends_count"":419,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":1149,""location"":""Republic of Slovenia"",""media_count"":2139,""name"":""Anya"",""normal_followers_count"":224226,""pinned_tweet_ids_str"":[""1492918379446943746""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/389474167/1545255855"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/938026823493017600/B19hcD5C_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""anyatrades"",""statuses_count"":15427,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-389474167"",""sortIndex"":""1726944887225450494""}"
"3","黄健宏","huangz1990","https://pbs.twimg.com/profile_images/1547456468387246082/aEX8N6rL_normal.jpg","true","false","IT 技术图书作者与译者。\n著有《Redis设计与实现》、《Redis使用手册》，译有《Go语言趣学指南》、《Go Web编程》、《Redis实战》。\n****\n注意：此账号为私人账号，可能包含强烈的个人见解和时事、政治观点，请小心阅读、谨慎关注，谢谢！","{""__typename"":""User"",""id"":""VXNlcjoxMDc1NTgyODI="",""rest_id"":""107558282"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sat Jan 23 00:00:14 +0000 2010"",""default_profile"":false,""default_profile_image"":false,""description"":""IT 技术图书作者与译者。\n著有《Redis设计与实现》、《Redis使用手册》，译有《Go语言趣学指南》、《Go Web编程》、《Redis实战》。\n****\n注意：此账号为私人账号，可能包含强烈的个人见解和时事、政治观点，请小心阅读、谨慎关注，谢谢！"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""huangz.me"",""expanded_url"":""http://huangz.me"",""url"":""https://t.co/4U5BF5vMn1"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":866,""followers_count"":14934,""friends_count"":39,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":110,""location"":"""",""media_count"":1003,""name"":""黄健宏"",""normal_followers_count"":14934,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/107558282/1454410742"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1547456468387246082/aEX8N6rL_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""huangz1990"",""statuses_count"":3321,""translator_type"":""none"",""url"":""https://t.co/4U5BF5vMn1"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-107558282"",""sortIndex"":""1726944887225450493""}"
"4","Moni 🧙‍♂️","getmoni_io","https://pbs.twimg.com/profile_images/1614979546175913984/FkDslVRm_normal.jpg","true","false","We're the ecosystem by and for alpha hunters.\n\n🧙 OS: https://opensea.io/collection/moni-wizards\n👁️ Discover: http://discover.getmoni.io \n📚 Reports: http://alpha.getmoni.io","{""__typename"":""User"",""id"":""VXNlcjoxMDI2NzUzNzUwMDM4NDcwNjU4"",""rest_id"":""1026753750038470658"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Tue Aug 07 08:55:44 +0000 2018"",""default_profile"":false,""default_profile_image"":false,""description"":""We're the ecosystem by and for alpha hunters.\n\n🧙 OS: https://t.co/D1gCwAxbks\n👁️ Discover: https://t.co/PrM7cCvLs1 \n📚 Reports: https://t.co/OfoqFF1ohd"",""entities"":{""description"":{""urls"":[{""display_url"":""opensea.io/collection/mon…"",""expanded_url"":""https://opensea.io/collection/moni-wizards"",""url"":""https://t.co/D1gCwAxbks"",""indices"":[53,76]},{""display_url"":""discover.getmoni.io"",""expanded_url"":""http://discover.getmoni.io"",""url"":""https://t.co/PrM7cCvLs1"",""indices"":[90,113]},{""display_url"":""alpha.getmoni.io"",""expanded_url"":""http://alpha.getmoni.io"",""url"":""https://t.co/OfoqFF1ohd"",""indices"":[126,149]}]},""url"":{""urls"":[{""display_url"":""discord.gg/getmoni"",""expanded_url"":""http://discord.gg/getmoni"",""url"":""https://t.co/ATEOj2PrDc"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":4755,""followers_count"":10592,""friends_count"":323,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":187,""location"":""Degenland "",""media_count"":2650,""name"":""Moni 🧙‍♂️"",""normal_followers_count"":10592,""pinned_tweet_ids_str"":[""1726516126643839447""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1026753750038470658/1662709395"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1614979546175913984/FkDslVRm_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""getmoni_io"",""statuses_count"":6417,""translator_type"":""none"",""url"":""https://t.co/ATEOj2PrDc"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1026753750038470658"",""sortIndex"":""1726944887225450492""}"
"5","Len Chou","LenChou95","https://pbs.twimg.com/profile_images/1625414216218980358/crCtJl1S_normal.jpg","true","false","AI & Web3 应用层创业者，ex产品经理。从零到一完成过千万用户互联网医疗平台与过亿 GMV 电商平台。","{""__typename"":""User"",""id"":""VXNlcjozNDI0NTMxNDY="",""rest_id"":""342453146"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Tue Jul 26 01:30:16 +0000 2011"",""default_profile"":false,""default_profile_image"":false,""description"":""AI & Web3 应用层创业者，ex产品经理。从零到一完成过千万用户互联网医疗平台与过亿 GMV 电商平台。"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""imzl.com"",""expanded_url"":""https://imzl.com"",""url"":""https://t.co/ODRzCqwDRm"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":3739,""followers_count"":2253,""friends_count"":3018,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":32,""location"":"""",""media_count"":57,""name"":""Len Chou"",""normal_followers_count"":2253,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1625414216218980358/crCtJl1S_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""LenChou95"",""statuses_count"":1502,""translator_type"":""none"",""url"":""https://t.co/ODRzCqwDRm"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-342453146"",""sortIndex"":""1726944887225450491""}"
"6","Ashford Trader","StratDevilDog","https://pbs.twimg.com/profile_images/1327088986599395328/6bUysNuk_normal.jpg","true","false","Former US Marine. Day trader. Daily profit goal is $500-$1000. Developed a profitable trading strategy.  Follow/learn. Ash Trading System/dots. No Telegram.","{""__typename"":""User"",""id"":""VXNlcjoxMjcxODExMDE4NTYyNDI4OTMw"",""rest_id"":""1271811018562428930"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sat Jun 13 14:26:01 +0000 2020"",""default_profile"":true,""default_profile_image"":false,""description"":""Former US Marine. Day trader. Daily profit goal is $500-$1000. Developed a profitable trading strategy.  Follow/learn. Ash Trading System/dots. No Telegram."",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":20252,""followers_count"":69399,""friends_count"":111,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":656,""location"":""Boston, MA"",""media_count"":3844,""name"":""Ashford Trader"",""normal_followers_count"":69399,""pinned_tweet_ids_str"":[""1502769280923885571""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1271811018562428930/1641154256"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1327088986599395328/6bUysNuk_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""StratDevilDog"",""statuses_count"":12806,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1271811018562428930"",""sortIndex"":""1726944887225450490""}"
"7","Will - 开发APP学英语","iWillDev","https://pbs.twimg.com/profile_images/1725728748165853184/tvVXULDZ_normal.jpg","true","false","一个自由的独立开发者，喜欢学英语，我的理想是开发出一款能真正解决英语学习难题的产品。我现在一边学英语一边完善雪球英语APP，产品已初具规模，深受用户喜爱。继续深入研究之下，我已发现了更多有效的解决方案。这些解决方案会在产品中不断更新呈现，App的下载链接：http://bit.ly/m/snowball","{""__typename"":""User"",""id"":""VXNlcjoxNTEzNzcwNjg3NTk2NDMzNDEx"",""rest_id"":""1513770687596433411"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Tue Apr 12 06:47:32 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""一个自由的独立开发者，喜欢学英语，我的理想是开发出一款能真正解决英语学习难题的产品。我现在一边学英语一边完善雪球英语APP，产品已初具规模，深受用户喜爱。继续深入研究之下，我已发现了更多有效的解决方案。这些解决方案会在产品中不断更新呈现，App的下载链接：https://t.co/HkREYUKBOD"",""entities"":{""description"":{""urls"":[{""display_url"":""bit.ly/m/snowball"",""expanded_url"":""http://bit.ly/m/snowball"",""url"":""https://t.co/HkREYUKBOD"",""indices"":[128,151]}]}},""fast_followers_count"":0,""favourites_count"":4,""followers_count"":6456,""friends_count"":62,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":50,""location"":""Nanaimo, BC, Canada"",""media_count"":134,""name"":""Will - 开发APP学英语"",""normal_followers_count"":6456,""pinned_tweet_ids_str"":[""1725970301811613851""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1513770687596433411/1700338570"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1725728748165853184/tvVXULDZ_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""iWillDev"",""statuses_count"":1025,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1691553519344717949"",""professional_type"":""Business"",""category"":[{""id"":144,""name"":""Education"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1513770687596433411"",""sortIndex"":""1726944887225450489""}"
"8","Eson Wong","eson000","https://pbs.twimg.com/profile_images/1508006134908878853/8dKieJYb_normal.jpg","true","false","Web Developer | Blogger | Swift Beginner |Big Reader | | Indie Developers,  Network RC 作者","{""__typename"":""User"",""id"":""VXNlcjoxMDkxNzUyNzczMzMzMzA3Mzk0"",""rest_id"":""1091752773333307394"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sat Feb 02 17:38:39 +0000 2019"",""default_profile"":true,""default_profile_image"":false,""description"":""Web Developer | Blogger | Swift Beginner |Big Reader | | Indie Developers,  Network RC 作者"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""blog.esonwong.com"",""expanded_url"":""https://blog.esonwong.com/"",""url"":""https://t.co/DEoRnWNkaf"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":277,""followers_count"":2067,""friends_count"":467,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":23,""location"":"""",""media_count"":248,""name"":""Eson Wong"",""normal_followers_count"":2067,""pinned_tweet_ids_str"":[""1445565917241380877""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1091752773333307394/1637511306"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1508006134908878853/8dKieJYb_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""eson000"",""statuses_count"":1664,""translator_type"":""none"",""url"":""https://t.co/DEoRnWNkaf"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1091752773333307394"",""sortIndex"":""1726944887225450488""}"
"9","饼圈小鱼","BingQuanXiaoYu","https://pbs.twimg.com/profile_images/1689179819794415617/hqnphn-y_normal.jpg","true","false","All in Crypto&Web3玩家,长期主义,Crypto是高风险投资行业,无任何财务建议,YouTube频道:饼圈小鱼","{""__typename"":""User"",""id"":""VXNlcjoxNDY0NzYyMjA2ODQzODE3OTkx"",""rest_id"":""1464762206843817991"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":false,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sun Nov 28 01:05:08 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""All in Crypto&Web3玩家,长期主义,Crypto是高风险投资行业,无任何财务建议,YouTube频道:饼圈小鱼"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""youtube.com/channel/UCJwaY…"",""expanded_url"":""https://youtube.com/channel/UCJwaY349wPgj9hqITVfrCow"",""url"":""https://t.co/t4oi9aigop"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":140,""followers_count"":7042,""friends_count"":767,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":262,""location"":"""",""media_count"":63,""name"":""饼圈小鱼"",""normal_followers_count"":7042,""pinned_tweet_ids_str"":[""1720297715563937904""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1464762206843817991/1692534017"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1689179819794415617/hqnphn-y_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""BingQuanXiaoYu"",""statuses_count"":968,""translator_type"":""none"",""url"":""https://t.co/t4oi9aigop"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1546744185272668160"",""professional_type"":""Creator"",""category"":[{""id"":713,""name"":""Science & Technology"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1464762206843817991"",""sortIndex"":""1726944887225450487""}"
